# Author: Lukas Bower
# Purpose: Inventory every tracked Markdown file for Milestone 26c disposition control.
# Copyright 2026 Lukas Bower
path,disposition,owner,update_rule,evidence_source
AGENTS.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
CONTRIBUTING.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
apps/gpu-bridge-host/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
apps/nine-door/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
apps/root-task/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
apps/worker-gpu/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
crates/boot/uefi-elfloader-shim/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
crates/cohesix-ticket/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
crates/secure9p-codec/README.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/API_GUIDELINES.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/ARCHITECTURE.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/AWS_AMI.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/BENCHMARKS.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/BOOT_REFERENCE.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/BUILD_PLAN.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/CODING_GUIDELINES.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/DRIVERS.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/FAILOVER.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/FAILURE_MODES.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/GPU_NODES.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/HARDWARE_BRINGUP.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/HOST_API.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/HOST_TOOLS.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/INTERFACES.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/NETWORK_CONFIG.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/OPERATOR_WALKTHROUGH.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/PYTHON_SUPPORT.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/QUICKSTART.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/QUICKSTART_ALPHA.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/REPO_LAYOUT.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/ROLES_AND_SCHEDULING.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/SECURE9P.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/SECURITY.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/SECURITY_NIST_800_53.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/TEST_PLAN.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/TOOLCHAIN_MAC_ARM64.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/USERLAND_AND_CLI.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/USE_CASES.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/WORKER_TICKETS.md,human-edited canonical source,docs-owner,edit directly with generated/as-built evidence,canonical Cohesix-authored documentation
docs/audit/AUDIT_REPORT_2026-02-12.md,append-only audit evidence,audit-owner,append only with dated evidence; do not rewrite for style,historical audit evidence
docs/audit/AUDIT_REPORT_2026-02-13.md,append-only audit evidence,audit-owner,append only with dated evidence; do not rewrite for style,historical audit evidence
docs/audit/AUDIT_REPORT_2026-02-14.md,append-only audit evidence,audit-owner,append only with dated evidence; do not rewrite for style,historical audit evidence
docs/audit/BLOCKERS.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/CONTROL_TRACEABILITY.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/DUE_DILIGENCE_PLAN.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/EXCEPTIONS.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26B_COMPLETION_EVIDENCE.md,append-only audit evidence,audit-owner,append only with dated evidence; do not rewrite for style,historical audit evidence
docs/audit/M26C_AGENT_HANDOFFS.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_AGENT_RUNNER_HANDOFF.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_AI_FINGERPRINT_AUDIT.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_AS_BUILT_BLOCKERS.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_DOCS_AS_BUILT_AUDIT.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_DOC_DRIFT_LEDGER.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_MARKDOWN_INVENTORY.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_MERMAID_GITHUB_RENDER_AUDIT.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_NINEDOOR_PARITY_MATRIX.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_POST_BEHAVIOR_BASELINE.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_REFACTOR_MAP.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_REFACTOR_OWNERSHIP.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_RUNTIME_BOUNDARY_AUDIT.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_SIMPLICITY_SCORECARD.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26C_TARGET_RUNNER_BASELINE.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/M26D_SEL4_15_PROVENANCE.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/PI4_ROOT_OWNED_DRIVER_INVENTORY.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/checklists/ARCHITECTURE_CHECKLIST.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/checklists/RELEASE_EVIDENCE_CHECKLIST.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/audit/checklists/SECURITY_CHECKLIST.md,live audit register,audit-owner,update only with matching evidence command,audit control surface
docs/nist/REPORT.md,generated report,generator-owner,update only through NIST report generator,generated compliance report
docs/snippets/cas_interfaces.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/cas_security.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/coh_doctor_checks.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/coh_policy.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/cohesix_py_defaults.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/cohsh_client.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/cohsh_grammar.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/cohsh_policy.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/cohsh_ticket_policy.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/gpu_breadcrumbs.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/latency_metrics.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/observability_interfaces.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/observability_security.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/root_task_manifest.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/swarmui_defaults.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/telemetry_cbor_schema.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/ticket_quotas.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
docs/snippets/trace_policy.md,generated snippet,generator-owner,update only through coh-rtc or source generator,generated documentation snippet
releases/Cohesix-0.8.0-alpha-MacOS/QUICKSTART.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/README.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/RELEASE_NOTES.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/docs/ARCHITECTURE.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/docs/GPU_NODES.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/docs/HOST_TOOLS.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/docs/INTERFACES.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/docs/NETWORK_CONFIG.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
releases/Cohesix-0.8.0-alpha-MacOS/docs/PYTHON_SUPPORT.md,release snapshot,release-owner,update only through release-cut flow,release package snapshot
