# Author: Lukas Bower
# Purpose: Inventory tracked Markdown Mermaid diagrams for Milestone 26c.
# Copyright 2026 Lukas Bower
path,block_index,line_start,line_end,heading,diagram_type,disposition,owner,evidence_source,github_status,update_rule
README.md,1,76,112,Architecture at a glance,flowchart,human-edited canonical source,docs-owner,README.md,pass,edit directly with generated/as-built evidence
docs/ARCHITECTURE.md,1,79,115,2.2 System boundary,flowchart,human-edited canonical source,docs-owner,docs/ARCHITECTURE.md,pass,edit directly with generated/as-built evidence
docs/BOOT_REFERENCE.md,1,17,34,Boot Paths,flowchart,human-edited canonical source,docs-owner,docs/BOOT_REFERENCE.md,pass,edit directly with generated/as-built evidence
docs/DRIVERS.md,1,63,89,As-built architecture,flowchart,human-edited canonical source,docs-owner,docs/DRIVERS.md,pass,edit directly with generated/as-built evidence
docs/FAILOVER.md,1,41,50,3) Production Pattern,flowchart,human-edited canonical source,docs-owner,docs/FAILOVER.md,pass,edit directly with generated/as-built evidence
docs/GPU_NODES.md,1,16,36,1. Trust boundary,flowchart,human-edited canonical source,docs-owner,docs/GPU_NODES.md,pass,edit directly with generated/as-built evidence
docs/HARDWARE_BRINGUP.md,1,50,61,Proof Layers,flowchart,human-edited canonical source,docs-owner,docs/HARDWARE_BRINGUP.md,pass,edit directly with generated/as-built evidence
docs/HOST_TOOLS.md,1,24,40,Choose one live topology,flowchart,human-edited canonical source,docs-owner,docs/HOST_TOOLS.md,pass,edit directly with generated/as-built evidence
docs/INTERFACES.md,1,52,87,Target TCP console sequence,sequenceDiagram,human-edited canonical source,docs-owner,docs/INTERFACES.md,pass,edit directly with generated/as-built evidence
docs/NETWORK_CONFIG.md,1,105,146,Reference Topology,flowchart,human-edited canonical source,docs-owner,docs/NETWORK_CONFIG.md,pass,edit directly with generated/as-built evidence
docs/USE_CASES.md,1,42,51,Current Capability Boundary,flowchart,human-edited canonical source,docs-owner,docs/USE_CASES.md,pass,edit directly with generated/as-built evidence
